ECO ID,Ecoregion name,Threshold,Ecoregion baseline,Target (10% above threshold),Threshold exceedance,Difference between baseline and target,Threshold met or exceeded? (Y/N)
229,Eastern Java-Bali montane rain forests,12,13.8,10.8,1.8,3,Yes
230,Eastern Java-Bali rain forests,13,14.5,11.7,1.5,2.8,Yes
231,Greater Negros-Panay rain forests,7.6,6.6,6.84,-1,-0.24,No
232,Hainan Island monsoon rain forests,20,29.5,18,9.5,11.5,Yes
233,Himalayan subtropical broadleaf forests,16.6,14.4,14.94,-2.2,-0.54,No
234,Irrawaddy freshwater swamp forests,20,21,18,1,3,Yes
235,Irrawaddy moist deciduous forests,20,19.5,18,-0.5,1.5,No
236,Jian Nan subtropical evergreen forests,20,60.8,18,40.8,42.8,Yes
237,Kayah-Karen montane rain forests,20,23.6,18,3.6,5.6,Yes
238,Lower Gangetic Plains moist deciduous forests,20,26.1,18,6.1,8.1,Yes
239,Luang Prabang montane rain forests,20,25.8,18,5.8,7.8,Yes
240,Luzon montane rain forests,20,10.6,18,-9.4,-7.4,No
241,Luzon rain forests,20,9.9,18,-10.1,-8.1,No
242,Malabar Coast moist forests,20,17.8,18,-2.2,-0.2,No
244,Meghalaya subtropical forests,20,27.3,18,7.3,9.3,Yes
245,Mentawai Islands rain forests,11,12.2,9.9,1.2,2.3,Yes
246,Mindanao montane rain forests,20,9,18,-11,-9,No
247,Mindanao-Eastern Visayas rain forests,20,7.4,18,-12.6,-10.6,No
248,Mindoro rain forests,20,6.4,18,-13.6,-11.6,No
249,Mizoram-Manipur-Kachin rain forests,17.4,20.3,15.66,2.9,4.64,Yes
250,Myanmar coastal rain forests,15.4,20.1,13.86,4.7,6.24,Yes
251,Nansei Islands subtropical evergreen forests,20,7.4,18,-12.6,-10.6,No
252,Nicobar Islands rain forests,20,NA,18,#VALUE!,#VALUE!,NoA
253,North Western Ghats moist deciduous forests,20,18.3,18,-1.7,0.3,No
254,North Western Ghats montane rain forests,17.6,19.5,15.84,1.9,3.66,Yes
255,Northern Annamites rain forests,20,22.8,18,2.8,4.8,Yes
256,Northern Indochina subtropical forests,20,29.3,18,9.3,11.3,Yes
257,Northern Khorat Plateau moist deciduous forests,20,24.4,18,4.4,6.4,Yes
