ADM0_NAME,value,metric,flow_name
Niger,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Nigeria,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Niue,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Norfolk Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Northern Mariana Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Norway,0.22711124991992665,cf_mean,Broadleaf_Deciduous_Boreal_dry
Oman,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Pakistan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Palau,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Palmyra Atoll,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Panama,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Papua New Guinea,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Paracel Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Paraguay,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Peru,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Philippines,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Pitcairn,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Poland,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Portugal,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Puerto Rico,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Qatar,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Republic of Korea,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Romania,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Russian Federation,0.05901521212259806,cf_mean,Broadleaf_Deciduous_Boreal_dry
Rwanda,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Réunion,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Saint Helena,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Saint Kitts and Nevis,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Saint Lucia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Saint Pierre et Miquelon,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Saint Vincent and the Grenadines,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Samoa,,cf_mean,Broadleaf_Deciduous_Boreal_dry
San Marino,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Sao Tome and Principe,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Saudi Arabia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Scarborough Reef,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Senegal,,cf_mean,Broadleaf_Deciduous_Boreal_dry
