ADM0_NAME,country,value,metric,flow_name
Bermuda,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Bhutan,Bhutan,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
Bird Island,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Bolivia,Bolivia,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
Bosnia and Herzegovina,Bosnia and Herzegovina,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
Botswana,Botswana,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
Bouvet Island,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Brazil,Brazil,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
British Indian Ocean Territory,,,cf_median,cfactor_25km_Barley_irr_roff_rt
British Virgin Islands,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Brunei Darussalam,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Bulgaria,Bulgaria,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
Burkina Faso,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Burundi,Burundi,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
Cambodia,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Cameroon,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Canada,Canada,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
Cape Verde,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Cayman Islands,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Central African Republic,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Chad,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Chile,Chile,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
China,China,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
China/India,China/India,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
Christmas Island,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Clipperton Island,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Cocos (Keeling) Islands,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Colombia,Colombia,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
Comoros,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Congo,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Cook Islands,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Costa Rica,,,cf_median,cfactor_25km_Barley_irr_roff_rt
Croatia,Croatia,0.07000000029802322,cf_median,cfactor_25km_Barley_irr_roff_rt
Cuba,,,cf_median,cfactor_25km_Barley_irr_roff_rt
